Title,ViewCount,URL,Thumbnail,PublishedAt,DurationSec,Rank
【HoI4】全世界を極右化したら一周回って平和になる説【ゆっくり実況】,67295,https://www.youtube.com/watch?v=asWsHJLLkk4,https://i.ytimg.com/vi/asWsHJLLkk4/hqdefault.jpg,2025-01-01T04:00:01Z,563,254
【Hearts of Iron Ⅳ】なんかドゥーチェがめっちゃ良い顔になったんだが【ゆっくり実況】part38,67093,https://www.youtube.com/watch?v=HymRBFoWp90,https://i.ytimg.com/vi/HymRBFoWp90/hqdefault.jpg,2019-06-16T14:20:59Z,727,255
【HoI4】もしも西側がドイツの再軍備を全力で止めていたら…？【ゆっくり実況】,66779,https://www.youtube.com/watch?v=yemCcZjCETk,https://i.ytimg.com/vi/yemCcZjCETk/hqdefault.jpg,2024-10-25T04:00:59Z,537,256
【HoI4】ナチスさえ無ければ欧州に平和が訪れるのか検証しに行く【ゆっくり実況】,66760,https://www.youtube.com/watch?v=RHzUrW8xdKQ,https://i.ytimg.com/vi/RHzUrW8xdKQ/hqdefault.jpg,2024-09-04T04:00:17Z,591,257
【HoI4】ビザンツ復興だけじゃない、本当のギリシャを見せます…。【ゆっくり実況】,66429,https://www.youtube.com/watch?v=c4l9x3PPDHE,https://i.ytimg.com/vi/c4l9x3PPDHE/hqdefault.jpg,2024-04-01T04:00:32Z,649,258
【HoI4】絶望しか残ってない小国パラグアイで米帝を討伐【ゆっくり実況】,66408,https://www.youtube.com/watch?v=kbhjXNYIRcs,https://i.ytimg.com/vi/kbhjXNYIRcs/hqdefault.jpg,2024-07-03T04:00:26Z,645,259
【HoI4】陸海空が入り乱れる激戦の対人マルチプレイに挑戦【ゆっくり実況】,66143,https://www.youtube.com/watch?v=Q6jNc2IU1e4,https://i.ytimg.com/vi/Q6jNc2IU1e4/hqdefault.jpg,2024-05-29T04:00:15Z,766,260
【HoI4】パリを速攻で燃やす闇の実績を知っているか【ゆっくり実況】,65997,https://www.youtube.com/watch?v=CNIlj4rgRew,https://i.ytimg.com/vi/CNIlj4rgRew/hqdefault.jpg,2023-11-10T04:00:04Z,493,261
【HoI4】生産ライン3つの思考停止ソ連プレイで最大強化ドイツに勝ちますｗｗｗ【ゆっくり実況】part101,65853,https://www.youtube.com/watch?v=5CWyaA0YoH4,https://i.ytimg.com/vi/5CWyaA0YoH4/hqdefault.jpg,2020-02-01T04:00:01Z,670,262
【HoI4】極限まで各国を崩壊させてからドイツ統一プレイしたら面白い説【ゆっくり実況】,65752,https://www.youtube.com/watch?v=V2UtgK3Gdmw,https://i.ytimg.com/vi/V2UtgK3Gdmw/hqdefault.jpg,2025-02-28T04:00:21Z,554,263
【HoI4】大量突撃ドクトリンでシモヘイヘ量産！必勝のフィンランド流ゲリラ戦法がこちらになります【ゆっくり実況】part160,65675,https://www.youtube.com/watch?v=B54nuaIJ_ZU,https://i.ytimg.com/vi/B54nuaIJ_ZU/hqdefault.jpg,2020-09-30T04:00:03Z,691,264
【HoI4】史上最強(ガチ)のオーストリア帝国が1937年に完成してしまいました。【ゆっくり実況】part443,65671,https://www.youtube.com/watch?v=31spXCkuJ2A,https://i.ytimg.com/vi/31spXCkuJ2A/hqdefault.jpg,2022-12-18T04:00:01Z,608,265
【HoI4】超絶アプデされて薄味国家から大成長した日本がおもしれぇ！！！【ゆっくり実況】part94,65490,https://www.youtube.com/watch?v=1vI996W_ZAY,https://i.ytimg.com/vi/1vI996W_ZAY/hqdefault.jpg,2020-01-11T04:00:00Z,673,266
【HoI4】新DLCのスウェーデンで「永世中立国」になるとこうなります…。【ゆっくり実況】,65271,https://www.youtube.com/watch?v=gc2gLqKbdwM,https://i.ytimg.com/vi/gc2gLqKbdwM/hqdefault.jpg,2023-10-25T04:00:20Z,527,267
