Title,ViewCount,URL,Thumbnail,PublishedAt,DurationSec,Rank
「スシ食いねェ！」5か国語で逆翻訳したら大将が転職してしまった,2485629,https://www.youtube.com/watch?v=S6TkKDbVghw,https://i.ytimg.com/vi/S6TkKDbVghw/hqdefault.jpg,2020-07-19T13:30:11Z,231,29
「ｴｯﾎｴｯﾎ」50ヶ国語で逆翻訳したら恐ろしいことに巻き込まれた,2443638,https://www.youtube.com/watch?v=_3OApXR2gYo,https://i.ytimg.com/vi/_3OApXR2gYo/hqdefault.jpg,2025-05-20T11:37:02Z,70,30
おジャ魔女カーニバル逆翻訳したら重大な十字架を背負った【ガムテ衣装で歌う】,2418743,https://www.youtube.com/watch?v=EFB-GU3rUqI,https://i.ytimg.com/vi/EFB-GU3rUqI/hqdefault.jpg,2020-06-13T12:15:28Z,234,31
「Habit」５ヶ国語で逆翻訳したら何もなかった #shorts,2352494,https://www.youtube.com/watch?v=YOm8zDqm0Ro,https://i.ytimg.com/vi/YOm8zDqm0Ro/hqdefault.jpg,2022-08-26T12:00:18Z,60,32
チェンソーマンOP「KICK BACK」DeepL翻訳で逆翻訳したら壊れなかった #shorts,2339573,https://www.youtube.com/watch?v=ZYM3ykSEkpI,https://i.ytimg.com/vi/ZYM3ykSEkpI/hqdefault.jpg,2022-11-30T11:45:02Z,58,33
テーブルクロス引きのゲーム広告が下手すぎて腹立つ,2263339,https://www.youtube.com/watch?v=GYGWrU7d1TM,https://i.ytimg.com/vi/GYGWrU7d1TM/hqdefault.jpg,2023-10-13T09:25:40Z,34,34
ちょっと恥ずかしかったけどしっかり振り覚えてやってみました,2218436,https://www.youtube.com/watch?v=dvgkgH8Kcmc,https://i.ytimg.com/vi/dvgkgH8Kcmc/hqdefault.jpg,2022-05-06T12:00:18Z,15,35
【無限逆翻訳】「おじさん構文」30ヶ国語まで何度も逆翻訳したら救世主になった,2213884,https://www.youtube.com/watch?v=1sF4vUccRkQ,https://i.ytimg.com/vi/1sF4vUccRkQ/hqdefault.jpg,2025-07-10T12:05:04Z,60,36
音が気持ちいいガムテープ協奏曲,2159824,https://www.youtube.com/watch?v=OQ91ZutT4C4,https://i.ytimg.com/vi/OQ91ZutT4C4/hqdefault.jpg,2021-07-21T13:00:17Z,33,37
「パフェいわし」20ヶ国語で逆翻訳したらサーモンが進化した【限界突破】,2061977,https://www.youtube.com/watch?v=kEB7oN5HO5U,https://i.ytimg.com/vi/kEB7oN5HO5U/hqdefault.jpg,2023-09-10T12:20:35Z,60,38
リモート会議でマイクが壊れている時の対処法,2024563,https://www.youtube.com/watch?v=LtyYMlV92zg,https://i.ytimg.com/vi/LtyYMlV92zg/hqdefault.jpg,2024-05-23T10:07:09Z,21,39
あの時の和田アキ子、救ってみた #shorts,2023936,https://www.youtube.com/watch?v=YXn0HnLTYqA,https://i.ytimg.com/vi/YXn0HnLTYqA/hqdefault.jpg,2024-07-14T10:13:16Z,60,40
新宝島を逆翻訳したらサカナクションが一人もいなくなった【ガムテ衣装で歌う】,2017373,https://www.youtube.com/watch?v=lnY8LHxouBc,https://i.ytimg.com/vi/lnY8LHxouBc/hqdefault.jpg,2020-08-06T14:00:18Z,290,41
お祭りに参加したすぎて2体錬成した男【すずめ踊り】,1981579,https://www.youtube.com/watch?v=Im61m0aygzc,https://i.ytimg.com/vi/Im61m0aygzc/hqdefault.jpg,2025-05-18T01:49:13Z,19,42
家SASUKE2021が開幕です,1971126,https://www.youtube.com/watch?v=xLwTK2JpbNY,https://i.ytimg.com/vi/xLwTK2JpbNY/hqdefault.jpg,2021-11-07T12:00:33Z,59,43
「猫ミームのﾁﾋﾟﾁﾋﾟﾁｬﾊﾟﾁｬﾊﾟ」5ヶ国語で逆翻訳したら穏やかではなくなった,1879558,https://www.youtube.com/watch?v=S3ZALcp55qU,https://i.ytimg.com/vi/S3ZALcp55qU/hqdefault.jpg,2024-02-25T12:00:08Z,242,44
「うっせぇわ」逆翻訳したら他の歌ってみたより超うるさくなった,1820206,https://www.youtube.com/watch?v=ZJWtsrQEVrA,https://i.ytimg.com/vi/ZJWtsrQEVrA/hqdefault.jpg,2021-01-29T12:00:12Z,308,45
こういう技術を開発しました,1817869,https://www.youtube.com/watch?v=OZBQ1LZchKg,https://i.ytimg.com/vi/OZBQ1LZchKg/hqdefault.jpg,2024-06-28T09:00:17Z,23,46
This is NIPPON「円」,1815197,https://www.youtube.com/watch?v=bBEchw64tlQ,https://i.ytimg.com/vi/bBEchw64tlQ/hqdefault.jpg,2023-12-05T12:00:26Z,60,47
派手すぎるピンクのガムテスーツを作ろう,1801965,https://www.youtube.com/watch?v=2JCQvhCKX9M,https://i.ytimg.com/vi/2JCQvhCKX9M/hqdefault.jpg,2021-08-01T12:18:48Z,60,48
にんげんっていいな逆翻訳したら極度の人間不信になった【ガムテープ人間】,1756379,https://www.youtube.com/watch?v=JVXBhg6Merk,https://i.ytimg.com/vi/JVXBhg6Merk/hqdefault.jpg,2020-10-15T14:45:13Z,289,49
「猫ミームのﾁﾋﾟﾁﾋﾟﾁｬﾊﾟﾁｬﾊﾟ」5ヶ国語で逆翻訳したら穏やかではなくなった #shorts,1739546,https://www.youtube.com/watch?v=OGdUtyXod6Q,https://i.ytimg.com/vi/OGdUtyXod6Q/hqdefault.jpg,2024-02-26T11:45:00Z,60,50
スマホに入ってる動画だけで最近流行りの気持ちいい動画のやつ作ってみた,1732930,https://www.youtube.com/watch?v=QSjiK1MPELs,https://i.ytimg.com/vi/QSjiK1MPELs/hqdefault.jpg,2025-08-22T11:05:34Z,112,51
「倍倍FIGHT!」128ヶ国語まで倍倍に逆翻訳したら全く違う歌になった,1714260,https://www.youtube.com/watch?v=xch7G-YjDk8,https://i.ytimg.com/vi/xch7G-YjDk8/hqdefault.jpg,2025-05-30T08:45:03Z,54,52
麻雀牌でしか喋れない刑事ドラマ,1713369,https://www.youtube.com/watch?v=kLTtH58jb6c,https://i.ytimg.com/vi/kLTtH58jb6c/hqdefault.jpg,2022-08-14T11:00:33Z,60,53
ハロウィンで100%確実にお菓子を得る方法,1693713,https://www.youtube.com/watch?v=kOQ5kFDKzgs,https://i.ytimg.com/vi/kOQ5kFDKzgs/hqdefault.jpg,2022-10-26T11:45:02Z,60,54
This is NIPPON「３色団子」,1685790,https://www.youtube.com/watch?v=URV_p5oZdhk,https://i.ytimg.com/vi/URV_p5oZdhk/hqdefault.jpg,2023-03-07T12:00:30Z,39,55
お願いマッスル逆翻訳したら全筋肉が消失した【ガムテ衣装で歌うMV】,1621562,https://www.youtube.com/watch?v=itRks5gU1yo,https://i.ytimg.com/vi/itRks5gU1yo/hqdefault.jpg,2020-07-26T11:45:11Z,206,56
【無限逆翻訳】「猫ミームのﾁﾋﾟﾁｬﾊﾟ」50ヶ国語まで何度も逆翻訳したら反撃をくらった,1582956,https://www.youtube.com/watch?v=wO66hjvFUnk,https://i.ytimg.com/vi/wO66hjvFUnk/hqdefault.jpg,2025-06-05T09:00:13Z,66,57
「APT.」5ヶ国語で逆翻訳したら将来が心配な歌になった #shorts,1581377,https://www.youtube.com/watch?v=D2f7m0lwiHM,https://i.ytimg.com/vi/D2f7m0lwiHM/hqdefault.jpg,2025-04-05T10:18:06Z,55,58
This is NIPPON「西山ダディダディ」,1570355,https://www.youtube.com/watch?v=7IgdHaBGu98,https://i.ytimg.com/vi/7IgdHaBGu98/hqdefault.jpg,2025-04-12T09:42:14Z,64,59
リズム天国レスラーのコスプレしたことを後悔した瞬間 #shorts,1563409,https://www.youtube.com/watch?v=diKgVwBcHlk,https://i.ytimg.com/vi/diKgVwBcHlk/hqdefault.jpg,2023-09-15T11:45:02Z,33,60
頭の上にアレの数字が見えるメガネ落ちてたのでかけてみた,1480361,https://www.youtube.com/watch?v=VZVsNiwcI7w,https://i.ytimg.com/vi/VZVsNiwcI7w/hqdefault.jpg,2025-10-11T09:17:54Z,177,61
米津玄師の感電を逆翻訳したら米津が事件に巻き込まれた【ガムテ衣装で歌う】,1478640,https://www.youtube.com/watch?v=y34T1aAczY4,https://i.ytimg.com/vi/y34T1aAczY4/hqdefault.jpg,2020-07-17T15:00:12Z,285,62
起きろ！メイドイン・モーニングルーティン #shorts,1465892,https://www.youtube.com/watch?v=AHOQ0VVHnY8,https://i.ytimg.com/vi/AHOQ0VVHnY8/hqdefault.jpg,2022-08-24T12:00:11Z,56,63
This is NIPPON「カップ焼きそば」,1433555,https://www.youtube.com/watch?v=fooBGEgYwsQ,https://i.ytimg.com/vi/fooBGEgYwsQ/hqdefault.jpg,2023-04-11T12:00:29Z,44,64
「ポケモン言えるかな？」逆翻訳したらポケモンが大量に逃げ出した,1393857,https://www.youtube.com/watch?v=lf5uTD-UGt0,https://i.ytimg.com/vi/lf5uTD-UGt0/hqdefault.jpg,2021-09-28T12:00:12Z,343,65
「神っぽいな」５カ国語で逆翻訳したら破壊神っぽい歌になってしまった,1388889,https://www.youtube.com/watch?v=mCc2fA2ty38,https://i.ytimg.com/vi/mCc2fA2ty38/hqdefault.jpg,2022-03-10T12:00:13Z,301,66
人の家来てすぐWi-Fi借りようとするやつ,1378998,https://www.youtube.com/watch?v=_UxIh0q4yQ0,https://i.ytimg.com/vi/_UxIh0q4yQ0/hqdefault.jpg,2021-06-30T14:23:55Z,18,67
