Title,ViewCount,URL,Thumbnail,PublishedAt,DurationSec,Rank
絶妙にウザいポエム5時間耐久,5023209,https://www.youtube.com/watch?v=-zEstoZ7vxs,https://i.ytimg.com/vi/-zEstoZ7vxs/hqdefault.jpg,2020-01-30T09:00:00Z,125,30
【アニメ】ボーダーライン越えちゃった「だーれだ」,5021002,https://www.youtube.com/watch?v=11SKvO3zb_Y,https://i.ytimg.com/vi/11SKvO3zb_Y/hqdefault.jpg,2021-02-25T10:27:21Z,214,31
電話が盛り上がって抜け出せないアニメ,4986331,https://www.youtube.com/watch?v=8V7oJAvSzKw,https://i.ytimg.com/vi/8V7oJAvSzKw/hqdefault.jpg,2020-05-16T10:00:05Z,144,32
【アニメ】躊躇なくエグい冤罪かけて来る取り調べ,4982455,https://www.youtube.com/watch?v=v9vyfV6GZko,https://i.ytimg.com/vi/v9vyfV6GZko/hqdefault.jpg,2021-10-09T09:56:31Z,183,33
【アニメ】1人だけハブかれてる卒業式,4970764,https://www.youtube.com/watch?v=Khk3Kd6YbyE,https://i.ytimg.com/vi/Khk3Kd6YbyE/hqdefault.jpg,2021-11-14T11:05:12Z,227,34
ほぼボケだけで成り立つアニメ,4882232,https://www.youtube.com/watch?v=YIdaGlT41D4,https://i.ytimg.com/vi/YIdaGlT41D4/hqdefault.jpg,2020-04-24T10:00:17Z,126,35
【アニメ】バーで変なやつに絡まれた,4798667,https://www.youtube.com/watch?v=dfLAxnn1eQg,https://i.ytimg.com/vi/dfLAxnn1eQg/hqdefault.jpg,2021-07-30T10:47:37Z,125,36
【アニメ】めちゃくちゃ下手な怖い話,4749952,https://www.youtube.com/watch?v=eWtQ0sHz91A,https://i.ytimg.com/vi/eWtQ0sHz91A/hqdefault.jpg,2020-10-10T09:20:36Z,135,37
【アニメ】オタクの喧嘩と唐突な和解,4730243,https://www.youtube.com/watch?v=dAt9lkkUP1g,https://i.ytimg.com/vi/dAt9lkkUP1g/hqdefault.jpg,2020-09-03T10:00:18Z,156,38
勢いだけでなんとかなるアニメ,4706942,https://www.youtube.com/watch?v=wDMfBsBovKE,https://i.ytimg.com/vi/wDMfBsBovKE/hqdefault.jpg,2020-01-22T09:00:10Z,93,39
【アニメ】狂った奴しかいない海水浴,4692284,https://www.youtube.com/watch?v=8i0fvAj9vyo,https://i.ytimg.com/vi/8i0fvAj9vyo/hqdefault.jpg,2021-11-30T10:00:08Z,287,40
一瞬だけ臨場感すごいアニメ,4665647,https://www.youtube.com/watch?v=tq8EMHGuEPA,https://i.ytimg.com/vi/tq8EMHGuEPA/hqdefault.jpg,2020-07-29T10:00:18Z,134,41
【アニメ】全部間違えてるバーのマスター,4657584,https://www.youtube.com/watch?v=lQW8UvEfqqA,https://i.ytimg.com/vi/lQW8UvEfqqA/hqdefault.jpg,2021-05-19T10:00:31Z,161,42
【アニメ】あなたが落とした物は…何これ⁉︎,4655706,https://www.youtube.com/watch?v=Tj3RaNVoFIc,https://i.ytimg.com/vi/Tj3RaNVoFIc/hqdefault.jpg,2021-02-18T11:16:12Z,162,43
【アニメ】るるるの歌　〜なれそめ編〜,4645484,https://www.youtube.com/watch?v=6h8JAKyRAaI,https://i.ytimg.com/vi/6h8JAKyRAaI/hqdefault.jpg,2020-09-16T10:00:04Z,161,44
【アニメ】人間の愚かさを一瞬で理解した鶏,4583150,https://www.youtube.com/watch?v=XqkJBqW3JQ0,https://i.ytimg.com/vi/XqkJBqW3JQ0/hqdefault.jpg,2020-01-03T09:00:11Z,101,45
【アニメ】ガリ勉がヤンキーにカツアゲする,4579575,https://www.youtube.com/watch?v=rqgxJHupMQQ,https://i.ytimg.com/vi/rqgxJHupMQQ/hqdefault.jpg,2021-03-06T10:24:51Z,179,46
【アニメ】ジュースを飲んでる奴をどうにかして笑わせたい,4560911,https://www.youtube.com/watch?v=cvcgm9pQtnk,https://i.ytimg.com/vi/cvcgm9pQtnk/hqdefault.jpg,2019-12-14T09:00:06Z,95,47
【アニメ】狂ってる散髪屋,4517853,https://www.youtube.com/watch?v=SXvhZ8bt6nc,https://i.ytimg.com/vi/SXvhZ8bt6nc/hqdefault.jpg,2020-10-29T10:00:04Z,99,48
【アニメ】人間とネズミを掛け合わせたキメラが残酷な結果を生み出すことはしばしばあるよねー,4475970,https://www.youtube.com/watch?v=tJuTOmqb0iA,https://i.ytimg.com/vi/tJuTOmqb0iA/hqdefault.jpg,2020-01-01T09:00:09Z,107,49
どうせこのアニメ見た後の感想は『猫可愛い』だろう⁉︎,4447442,https://www.youtube.com/watch?v=R8LBnABEozg,https://i.ytimg.com/vi/R8LBnABEozg/hqdefault.jpg,2020-01-15T09:00:04Z,100,50
